"Metric","Mean","SD"
"Sensitivity",NA,NA
"Specificity",0.711666666666667,0.161231280237643
"Precision",0.423333333333333,0.258977511051491
"Accuracy",0.423333333333333,0.107591652644714
"Kappa",0.135,0.161387478967071
