"Metric","Mean","SD"
"Sensitivity",NA,NA
"Specificity",0.660814814814815,0.191931440355954
"Precision",0.333,0.25474227007129
"Accuracy",0.322857142857143,0.107254557905885
"Kappa",-0.0131433622430734,0.166084545931415
