"Metric","Mean","SD"
"Sensitivity",NA,NA
"Specificity",0.689333333333333,0.182964648606831
"Precision",0.355111111111111,0.226439768876097
"Accuracy",0.364615384615385,0.112935814731217
"Kappa",0.0572604407486867,0.158970985265922
