"Metric","Mean","SD"
"Sensitivity",NA,NA
"Specificity",0.658333333333333,0.174788142774578
"Precision",0.316666666666667,0.223731822527849
"Accuracy",0.316666666666667,0.130410132739325
"Kappa",-0.025,0.195615199108988
