"Metric","Mean","SD"
"Sensitivity",NA,NA
"Specificity",0.648333333333333,0.172201172608884
"Precision",0.296666666666667,0.230600810451223
"Accuracy",0.296666666666667,0.115617243258847
"Kappa",-0.055,0.173425864888271
