"Metric","Mean","SD"
"Sensitivity",NA,NA
"Specificity",0.713333333333333,0.180474512873704
"Precision",0.438,0.304092885844895
"Accuracy",0.421428571428571,0.12350733098888
"Kappa",0.142447183425915,0.184678659896691
