"Metric","Mean","SD"
"Sensitivity",0.638095238095238,0.230265804945985
"Specificity",0.8075,0.13243809494737
"Precision",0.615,0.23994895989711
"Accuracy",0.615,0.140748323979179
"Kappa",0.4225,0.211122485968768
