"Metric","Mean","SD"
"Sensitivity",NA,NA
"Specificity",0.6355,0.197982059725507
"Precision",0.273333333333333,0.214847812186192
"Accuracy",0.269230769230769,0.112335430221214
"Kappa",-0.0906183627108828,0.169353998525418
